,diesel,petrol
Adilabad,99.84 ₹/L,111.83 ₹/L
Agar Malwa,94.89 ₹/L,109.70 ₹/L
Agra,89.80 ₹/L,96.63 ₹/L
Ahmadnagar,93.03 ₹/L,106.53 ₹/L
Ahmedabad,92.17 ₹/L,96.42 ₹/L
Aizawl,82.18 ₹/L,95.73 ₹/L
Ajmer,93.44 ₹/L,108.17 ₹/L
Akola,92.69 ₹/L,106.14 ₹/L
Alappuzha,97.45 ₹/L,108.58 ₹/L
Aligarh,89.94 ₹/L,96.79 ₹/L
Alipurduar,93.90 ₹/L,107.26 ₹/L
Alirajpur,95.67 ₹/L,110.57 ₹/L
Allahabad,90.46 ₹/L,97.27 ₹/L
Almora,90.59 ₹/L,95.66 ₹/L
Alwar,94.41 ₹/L,109.26 ₹/L
Ambala,90.29 ₹/L,97.45 ₹/L
Ambedkarnagar,90.69 ₹/L,97.53 ₹/L
Amethi Csm Nagar,90.13 ₹/L,96.95 ₹/L
Amravati,93.74 ₹/L,107.23 ₹/L
Amreli,93.72 ₹/L,97.95 ₹/L
Amritsar,87.90 ₹/L,97.55 ₹/L
Amroha,90.13 ₹/L,96.96 ₹/L
Anand,92.34 ₹/L,96.59 ₹/L
Anantapur,99.42 ₹/L,111.66 ₹/L
Anantnag,85.97 ₹/L,100.80 ₹/L
Angul,96.37 ₹/L,104.86 ₹/L
Anupur,96.16 ₹/L,111.10 ₹/L
Araria,95.88 ₹/L,109.23 ₹/L
Aravalli,92.91 ₹/L,97.16 ₹/L
Ariyalur,95.08 ₹/L,103.45 ₹/L
Arwal,94.57 ₹/L,107.81 ₹/L
Ashoknagar,93.94 ₹/L,108.71 ₹/L
Auraiya,90.13 ₹/L,96.96 ₹/L
Aurangabad,95.07 ₹/L,108.35 ₹/L
Azamgarh,90.86 ₹/L,97.70 ₹/L
Badgam,86.97 ₹/L,101.98 ₹/L
Badwani,95.22 ₹/L,110.06 ₹/L
Bagalkot,88.46 ₹/L,102.55 ₹/L
Bageshwar,91.03 ₹/L,95.98 ₹/L
Baghpat,89.57 ₹/L,96.39 ₹/L
Bahraich,90.30 ₹/L,97.11 ₹/L
Baksa,89.09 ₹/L,97.57 ₹/L
Balaghat,96.25 ₹/L,111.19 ₹/L
Baleshwar,94.81 ₹/L,103.23 ₹/L
Ballia,91.74 ₹/L,98.60 ₹/L
Balod,96.55 ₹/L,103.58 ₹/L
Balodabazar,95.98 ₹/L,103.01 ₹/L
Balrampur,97.62 ₹/L,104.66 ₹/L
